epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,213.806,0.7342,6.02259,0.01195,0.00501,0.19395,0.01143,0.00658,1.6444,4.20463,0.03887,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694
2,381.264,0.7807,4.8839,0.01277,0.47261,0.05534,0.05438,0.02832,1.76455,3.64743,0.04228,0.0198819,0.0066273,0.0198819,0.0066273,0.0198819,0.0066273,0.0198819,0.0066273
3,528.956,0.8554,4.07821,0.01423,0.38012,0.10857,0.08129,0.04037,1.8735,3.61718,0.04615,0.029684,0.00989467,0.029684,0.00989467,0.029684,0.00989467,0.029684,0.00989467
4,670.593,0.9158,3.38932,0.01519,0.48951,0.06772,0.08035,0.03709,1.96564,3.90263,0.04809,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,812.163,0.89883,2.93434,0.01477,0.36449,0.15174,0.12742,0.06275,1.95367,3.62612,0.049,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,953.85,0.87217,2.64141,0.01444,0.44147,0.19475,0.18479,0.09093,1.93638,3.05743,0.04805,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1095.06,0.8612,2.52526,0.01432,0.40278,0.239,0.21085,0.10695,1.9378,2.90737,0.04775,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1236.57,0.8495,2.38768,0.01401,0.40726,0.23308,0.20648,0.1029,1.94605,2.99906,0.04867,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1376.32,0.85064,2.32787,0.01417,0.39628,0.24631,0.20604,0.10309,1.96328,3.00683,0.04886,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1516.73,0.83724,2.25343,0.01375,0.37553,0.2802,0.25414,0.13213,1.94452,2.7958,0.04836,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1657.69,0.82644,2.20788,0.01357,0.4629,0.28303,0.26946,0.13173,1.9533,2.66469,0.04796,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1798.21,0.82551,2.13624,0.01366,0.49232,0.30505,0.31347,0.16114,1.94473,2.48889,0.0478,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1938.53,0.82358,2.08661,0.01345,0.48225,0.2834,0.30732,0.1579,1.9033,2.60678,0.0465,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,2077.75,0.81026,2.03512,0.01329,0.47017,0.32553,0.32786,0.16726,1.94698,2.5872,0.04823,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,2217.71,0.80009,2.01415,0.0132,0.44341,0.32947,0.31845,0.16871,1.89232,2.60792,0.04642,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2356.94,0.79259,1.95111,0.01287,0.44018,0.29873,0.30179,0.15282,1.95845,2.63213,0.04843,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
