epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,222.457,0.7342,6.02259,0.01195,0.00501,0.19395,0.01143,0.00658,1.6444,4.20463,0.03887,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694
2,396.87,0.77878,4.87831,0.01272,0.45652,0.06648,0.06155,0.03206,1.78554,3.56047,0.04291,0.0198489,0.00661631,0.0198489,0.00661631,0.0198489,0.00661631,0.0198489,0.00661631
3,559.51,0.85631,4.07986,0.01424,0.4514,0.09044,0.09277,0.04497,1.88323,3.63023,0.04626,0.0295851,0.00986169,0.0295851,0.00986169,0.0295851,0.00986169,0.0295851,0.00986169
4,715.954,0.91089,3.37509,0.01511,0.45211,0.11109,0.09753,0.04644,1.89807,3.66752,0.04627,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,873.655,0.90237,2.90269,0.01482,0.33873,0.19081,0.15721,0.07611,1.92168,3.16538,0.04749,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1030.05,0.87915,2.6437,0.01458,0.40086,0.20811,0.17967,0.08784,1.91221,3.11662,0.04681,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1186.01,0.86765,2.52221,0.01446,0.41381,0.22291,0.19599,0.0943,1.9944,3.00754,0.04989,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1336.41,0.85546,2.38598,0.0141,0.35132,0.23338,0.21198,0.10885,1.96287,3.09992,0.04901,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1481.67,0.84645,2.34088,0.01412,0.39555,0.23336,0.21765,0.11601,1.93217,3.01204,0.04766,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1626.18,0.83015,2.26884,0.01368,0.39779,0.31295,0.27712,0.14062,1.92209,2.7001,0.04685,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1770.93,0.82763,2.19833,0.01359,0.51587,0.27162,0.28915,0.14174,1.95873,2.64085,0.04825,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1914.45,0.81827,2.1259,0.0135,0.4333,0.27159,0.27566,0.15336,1.94552,2.81735,0.04776,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2057.46,0.82081,2.08528,0.01345,0.45116,0.31926,0.32597,0.16172,1.9464,2.46937,0.04793,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2200.62,0.81276,2.01826,0.01328,0.43897,0.28725,0.31238,0.15876,1.9378,2.51921,0.04752,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2343.38,0.79885,1.98967,0.01317,0.45003,0.30919,0.32351,0.16842,1.92245,2.65128,0.04697,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2486.14,0.79202,1.95319,0.01294,0.42926,0.32143,0.30127,0.1593,1.95353,2.62716,0.048,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2629.37,0.79728,1.90944,0.01307,0.45895,0.3232,0.34248,0.18071,1.90424,2.44721,0.04651,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2772.88,0.7893,1.90337,0.01294,0.43438,0.32108,0.33849,0.17152,1.93755,2.47519,0.04727,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2915.18,0.78123,1.83815,0.01279,0.48339,0.35657,0.36484,0.19024,1.92965,2.36276,0.04707,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3058.88,0.76898,1.81632,0.01265,0.48156,0.34345,0.3579,0.18813,1.90834,2.37501,0.04647,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3200.66,0.76919,1.77254,0.01243,0.46352,0.36315,0.35818,0.19351,1.89055,2.38207,0.04559,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3343.18,0.7737,1.75455,0.01258,0.46461,0.35804,0.35552,0.18543,1.90665,2.32623,0.04631,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
