epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.674,0.79121,6.50444,0.01313,0.00285,0.00076,0.00175,0.00118,1.63166,4.64106,0.03831,2.69482e-05,2.69482e-05,2.69482e-05
2,275.836,0.65566,5.8543,0.01048,0.00373,0.05834,0.00607,0.00353,1.57796,4.47255,0.03706,5.288e-05,5.288e-05,5.288e-05
3,402.556,0.64679,5.30269,0.01049,0.00491,0.24102,0.01633,0.00954,1.61348,4.20346,0.03806,7.77426e-05,7.77426e-05,7.77426e-05
4,527.662,0.65724,4.88018,0.0106,0.13333,0.11896,0.03287,0.02077,1.65664,3.97952,0.03964,7.61886e-05,7.61886e-05,7.61886e-05
5,652.395,0.65842,4.48938,0.01058,0.52035,0.02913,0.03484,0.01974,1.68037,3.7763,0.03971,7.45848e-05,7.45848e-05,7.45848e-05
6,780.795,0.64955,4.1887,0.01055,0.47788,0.05092,0.05138,0.02855,1.68307,3.62024,0.03985,7.2981e-05,7.2981e-05,7.2981e-05
7,908.237,0.64783,3.94755,0.01055,0.47497,0.06448,0.06916,0.0378,1.69633,3.50438,0.04011,7.13772e-05,7.13772e-05,7.13772e-05
8,1032.31,0.64626,3.71551,0.01037,0.51049,0.07972,0.08048,0.04402,1.71517,3.39787,0.04088,6.97734e-05,6.97734e-05,6.97734e-05
9,1155.95,0.65365,3.5511,0.01065,0.4631,0.10714,0.0997,0.05357,1.75145,3.24457,0.04202,6.81696e-05,6.81696e-05,6.81696e-05
10,1279.93,0.64529,3.40323,0.0104,0.46843,0.12411,0.11125,0.06055,1.75051,3.19563,0.04176,6.65658e-05,6.65658e-05,6.65658e-05
11,1405.42,0.65384,3.26475,0.01053,0.51105,0.13789,0.13882,0.07651,1.74721,3.12945,0.04175,6.4962e-05,6.4962e-05,6.4962e-05
12,1529.17,0.64284,3.11915,0.0104,0.47469,0.15896,0.1524,0.07982,1.75661,3.02727,0.04164,6.33582e-05,6.33582e-05,6.33582e-05
13,1654.03,0.65537,3.02034,0.01057,0.47948,0.17165,0.16231,0.08745,1.75401,3.00856,0.04182,6.17544e-05,6.17544e-05,6.17544e-05
14,1779.06,0.65005,2.9096,0.0105,0.45032,0.20318,0.18285,0.09625,1.75914,2.95241,0.04191,6.01506e-05,6.01506e-05,6.01506e-05
15,1903.49,0.64691,2.83359,0.01053,0.48612,0.20921,0.19966,0.10768,1.77287,2.88355,0.04259,5.85468e-05,5.85468e-05,5.85468e-05
