epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,216.471,0.7342,6.02259,0.01195,0.00501,0.19395,0.01143,0.00658,1.6444,4.20463,0.03887,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694
2,384.156,0.77583,4.89832,0.01266,0.46108,0.05477,0.05575,0.02789,1.77689,3.60447,0.04274,0.019783,0.00659433,0.019783,0.00659433,0.019783,0.00659433,0.019783,0.00659433
3,530.742,0.85507,4.08146,0.01423,0.48726,0.08435,0.09505,0.04543,1.84592,3.46261,0.04491,0.0293872,0.00979573,0.0293872,0.00979573,0.0293872,0.00979573,0.0293872,0.00979573
4,672.502,0.90686,3.37331,0.01504,0.43433,0.1019,0.10945,0.05128,1.92866,3.42883,0.04792,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,815.419,0.89624,2.88324,0.01472,0.33141,0.20466,0.151,0.07515,1.93857,3.33288,0.04785,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,959.121,0.87402,2.60825,0.01452,0.38203,0.21131,0.18455,0.09654,1.94532,3.01152,0.0481,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1101.94,0.86871,2.49993,0.01443,0.39255,0.18425,0.17493,0.08556,1.97736,3.17854,0.04984,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1245.62,0.84862,2.37698,0.01395,0.41787,0.22068,0.20542,0.10588,1.89562,3.01595,0.04704,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1388.63,0.84647,2.32124,0.01401,0.44456,0.26579,0.25936,0.13481,1.91948,2.8207,0.04697,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1532.56,0.83183,2.23306,0.01362,0.39518,0.29141,0.27245,0.14175,1.93702,2.69179,0.04762,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1674.81,0.83072,2.18528,0.01364,0.42613,0.30345,0.28674,0.15082,1.94331,2.65237,0.04775,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1818.41,0.81545,2.11111,0.01342,0.45334,0.28939,0.29406,0.15137,1.92716,2.62443,0.0471,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1962.16,0.8194,2.06324,0.0134,0.48885,0.28032,0.29963,0.15318,1.92197,2.61359,0.04726,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2104.47,0.81,2.0065,0.01323,0.40183,0.31443,0.3118,0.16109,1.93333,2.56175,0.04741,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
