epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,213.135,0.7342,6.02259,0.01195,0.00501,0.19395,0.01143,0.00658,1.6444,4.20463,0.03887,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694,0.00998081,0.00332694
2,383.791,0.77868,4.88501,0.01276,0.52299,0.06102,0.05496,0.02681,1.78739,3.65901,0.04312,0.0199149,0.00663829,0.0199149,0.00663829,0.0199149,0.00663829,0.0199149,0.00663829
3,531.418,0.86173,4.09632,0.01432,0.48004,0.08734,0.08754,0.04376,1.90613,3.65255,0.04765,0.0297829,0.00992764,0.0297829,0.00992764,0.0297829,0.00992764,0.0297829,0.00992764
4,673.521,0.90801,3.3931,0.01505,0.48668,0.12035,0.10789,0.05369,1.96485,3.46118,0.04893,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,816.302,0.89763,2.92317,0.01474,0.40086,0.16834,0.14092,0.07096,1.96936,3.28645,0.04915,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,958.718,0.87821,2.66762,0.01454,0.42579,0.18667,0.17353,0.09114,1.90202,3.16902,0.04705,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1100.17,0.86796,2.54611,0.01439,0.46955,0.18756,0.18257,0.09068,1.94644,3.10063,0.04812,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1241.62,0.84714,2.42443,0.01392,0.39112,0.25572,0.22768,0.11189,1.96525,2.88103,0.04822,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1384.05,0.85129,2.34591,0.01417,0.43784,0.24778,0.24417,0.1272,1.91653,2.79006,0.04744,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1526.12,0.83422,2.2699,0.0137,0.53759,0.25167,0.27576,0.13676,1.94149,2.69106,0.04794,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1668.94,0.82815,2.21511,0.01361,0.41464,0.26416,0.24888,0.12651,1.93505,2.8269,0.04737,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
